cluster_id,archetype,size,top_skills,pct_of_total
4,IT Support / Sysadmin,60,"SAP/ERP, Monitoring, CRM, Java, Support Technique, Photoshop, SQL, Agile",50.0
0,IT Support / Sysadmin,17,"Networking, TCP/IP, Linux, VPN, Monitoring, SAP/ERP, CRM, Java, Active Directory, Support Technique",14.2
3,Frontend Developer,15,"JavaScript, Java, CSS, Git, HTML, MySQL, jQuery, React, MongoDB, Bootstrap",12.5
2,Full-Stack Developer,14,"Java, JavaScript, Agile, Oracle, SQL, Git, API, HTML, CI/CD, CSS",11.7
1,DevOps / Cloud Engineer,14,"Cloud Computing, Agile, API, Docker, Python, SQL, Azure, AWS, Linux, Bash",11.7
